Ticker,Sector,roce,roic,po,divgr,divyield,shares,debt,rev,ni,fcf,fcfm,cf,bv,equity,score
ECL,B,4,4,4,3,-1,5,5,3,4,4,3,5,4,3,236
SHW,B,5,4,5,3,1,5,3,3,4,2,3,5,3,2,232
SCL,B,3,3,5,3,-1,4,4,1,5,5,3,3,4,3,219
CMCSA,C,3,3,5,4,1,5,5,3,5,5,3,5,4,2,272
SSTK,C,3,3,4,5,-5,4,5,4,5,5,4,3,5,5,256
TPL,E,5,5,5,5,3,5,5,5,5,5,4,5,5,5,330
VLO,E,3,3,5,4,3,5,5,5,4,5,3,3,4,2,267
IMO,E,4,3,5,3,-1,5,3,4,5,5,4,4,4,3,254
OXY,E,3,3,4,4,1,5,3,3,3,5,3,2,4,3,231
WAL,F,3,3,5,5,-1,4,5,5,5,5,5,5,5,5,305
MCO,F,5,5,5,4,-1,5,3,4,5,5,3,5,5,5,302
VCTR,F,4,5,5,5,-1,4,5,5,3,5,3,5,5,5,300
CBOE,F,5,5,4,5,-1,5,5,3,3,5,4,5,3,3,284
BFH,F,5,5,5,2,-5,5,5,4,5,5,4,5,5,3,277
MORN,F,4,3,5,3,-1,5,5,4,4,5,2,5,4,4,272
KNSL,F,4,4,5,5,-5,4,5,5,3,5,4,2,5,5,265
ICE,F,3,3,5,4,-1,5,3,4,3,3,2,5,4,4,247
BBSI,I,4,5,5,3,-1,4,5,4,5,5,3,5,5,5,291
GGG,I,5,5,4,3,3,4,5,3,5,3,3,5,5,3,287
FAST,I,5,5,1,4,3,5,3,4,4,5,4,5,4,3,283
MLI,I,4,3,5,3,1,4,4,3,4,5,4,5,5,5,282
ULH,I,5,3,5,3,1,5,3,3,5,5,2,5,5,5,282
WMS,I,4,3,5,3,-1,3,5,4,5,5,4,5,5,5,281
LECO,I,4,5,4,3,1,5,5,3,5,3,2,5,5,4,277
AIT,I,4,3,4,2,1,5,5,3,5,5,3,3,5,5,272
TKR,I,3,3,5,2,3,5,3,4,4,5,4,3,5,4,271
SNA,I,4,4,4,4,-1,5,4,2,5,5,3,5,4,4,270
GWW,I,5,4,4,3,1,5,3,3,5,5,2,5,4,3,269
ROK,I,5,5,4,3,1,5,5,3,5,4,3,2,4,3,269
EXPO,I,4,4,4,5,-1,5,5,3,4,5,4,2,4,4,269
ETN,I,3,4,3,3,3,5,5,3,2,5,4,5,3,3,266
WSO,I,3,3,2,5,3,4,5,3,5,4,3,5,3,3,266
OC,I,3,3,5,3,-1,5,4,3,5,5,4,5,4,3,264
ZTO,I,3,3,4,5,-5,4,5,5,5,5,3,5,4,5,262
HUBB,I,4,3,4,3,1,5,5,3,4,5,3,2,4,4,259
DLB,I,3,3,4,5,-1,5,5,3,2,5,3,5,4,4,259
ADP,I,5,5,3,3,1,5,4,4,4,4,2,3,4,3,258
EFX,I,4,3,4,3,-1,4,5,3,4,4,4,3,5,5,257
RTX,I,4,4,4,3,3,5,5,3,4,2,2,4,3,3,256
KNX,I,4,3,5,4,-5,5,5,2,5,5,3,3,5,5,253
IEX,I,4,3,4,4,-1,5,3,3,4,3,3,5,5,4,252
CNI,I,4,5,4,4,1,5,5,1,3,3,2,5,4,2,251
APOG,I,3,3,5,3,-1,5,5,3,5,5,3,2,3,2,241
ARMK,I,3,3,5,2,-1,4,5,2,5,4,2,5,4,3,240
PH,I,4,3,4,4,-1,5,3,1,3,5,3,3,5,4,239
XYL,I,3,3,4,3,-1,4,4,3,5,4,3,2,4,4,234
HEI,I,3,3,5,3,-5,4,5,4,5,2,3,3,5,5,231
EME,I,3,3,5,2,-5,5,3,3,4,5,3,3,4,4,219
WCC,I,3,3,2,5,-5,4,5,3,2,4,2,3,5,5,212
INTU,K,4,5,4,4,-1,5,5,4,5,5,5,5,5,5,300
KLAC,K,5,4,4,5,1,5,3,4,5,5,4,5,5,5,300
ACN,K,5,5,4,3,1,5,5,3,5,4,2,5,5,5,285
CDW,K,5,3,5,5,-5,5,5,4,5,5,3,5,5,5,275
AMKR,K,3,3,5,5,-1,4,4,2,5,5,3,5,5,5,267
JKHY,K,4,5,4,3,-1,5,5,4,5,4,3,3,4,4,262
SNX,K,3,3,5,5,-1,4,5,4,4,5,3,2,5,5,262
G,K,4,3,5,4,-1,5,5,4,5,3,3,5,4,3,262
ROP,K,3,3,5,5,-5,4,5,4,5,5,3,2,5,5,247
PAYC,K,4,5,2,5,-5,4,3,5,3,5,3,5,5,5,247
CSCO,K,4,4,3,3,3,5,5,2,2,2,3,4,4,4,242
SPNS,K,3,3,3,2,-1,4,5,4,5,3,3,5,3,4,236
TER,K,4,4,5,2,-1,5,3,2,5,2,3,2,4,3,217
AVT,K,3,3,4,2,-1,5,3,1,3,5,3,5,3,3,214
MU,K,3,3,5,5,-5,4,5,3,3,2,2,2,5,4,207
DOX,K,3,3,5,4,-1,5,5,2,2,2,2,3,3,2,204
CHD,P,4,3,4,3,1,5,5,4,5,4,3,5,4,4,269
GIS,P,5,5,3,2,3,5,5,3,3,3,3,2,4,4,251
TPB,P,5,3,5,3,-5,2,5,3,5,5,4,3,5,5,242
KDP,P,4,3,4,3,1,5,5,3,3,5,3,2,3,3,238
FLO,P,4,3,3,2,3,4,3,2,3,5,4,3,3,3,231
JJSF,P,3,3,4,3,-1,4,3,3,3,5,3,5,4,3,227
WST,V,3,3,5,2,-1,4,5,3,5,5,4,5,5,4,274
UNH,V,4,3,5,5,-1,5,3,4,5,5,2,2,5,4,267
RMD,V,4,4,4,2,-1,4,3,4,4,5,3,5,4,4,257
ABT,V,4,3,3,3,3,5,3,3,5,3,3,5,3,2,254
BAX,V,4,5,4,4,1,5,5,3,3,2,2,2,4,3,249
ATR,V,3,3,4,2,-1,5,5,3,3,4,3,5,4,3,244
UHS,V,4,3,5,2,-5,5,3,3,4,5,3,5,5,3,239
DHR,V,3,3,5,5,-5,4,5,4,4,2,3,4,4,4,237
BDX,V,3,3,3,3,-1,4,5,2,3,3,3,3,3,2,211
PII,Y,5,5,4,2,1,5,5,4,5,5,4,5,5,4,300
THO,Y,4,4,5,3,-1,5,5,5,5,5,3,5,5,5,295
MED,Y,5,5,3,5,3,5,5,4,5,5,2,2,5,4,295
KRT,Y,4,5,4,5,-5,4,5,5,5,5,4,5,4,5,283
WGO,Y,4,4,5,3,-1,4,3,5,4,5,3,5,5,5,276
ROST,Y,5,5,5,5,-5,5,4,4,5,4,4,3,5,3,265
LEA,Y,4,5,5,5,-5,5,5,4,5,4,2,5,4,3,262
CASY,Y,4,3,5,3,-1,4,3,3,5,5,2,5,5,5,261
BC,Y,4,3,5,4,-1,5,5,3,3,3,3,5,5,4,260
ASO,Y,5,4,5,5,-5,4,5,3,3,4,3,2,5,5,246
MNRO,Y,3,3,5,4,-1,4,5,3,4,4,2,3,4,4,243
CRWS,Y,3,4,3,3,3,4,5,3,2,2,3,5,4,3,243
GRBK,Y,4,3,2,2,-5,4,5,5,3,5,2,5,5,5,231
SON,Y,3,3,3,2,3,4,3,2,2,3,4,5,3,2,220
